Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Wilson,Clash 100 Pro Silver,100 in / 645.16 cm,Very low - 4% (55 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100 Roland Garros,100 in² / 645.16 cm²,Very low - 4% (55 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100 Silver,100 in / 645.16 cm,Very low - 4% (55 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100 Tour,100 in² / 645.16 cm²,Very low - 4% (55 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100L,100 in² / 645.16 cm²,Very low - 0% (54 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100L Silver,100 in / 645.16 cm,Very low - 0% (54 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 100UL,100 in² / 645.16 cm²,Low - 28% (60 RA),48-58 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Clash 108,108 in² / 696.77 cm²,Very low - 9% (56 RA),48-58 pounds,Graphite,Medium,Medium
Wilson,Clash 98,98 in² / 632.26 cm²,Very low - 4% (55 RA),48-58 pounds,Graphite,Low,Fast
Wilson,Clash Tour,100 sq. in. / 645.16 sq. cm.,Very low - -4% (53 RA),50-60 pounds,,,
Wilson,Envy 100 L,100 sq. in. / 645.16 sq. cm.,Low - 33% (61 RA),48-58 pounds,Basalt Graphite,Low-Medium,Medium-Fast
Wilson,Envy 110 UL,110 sq. in. / 709.68 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Basalt Graphite,Medium-High,Slow-Moderate
Wilson,Five 103,103 sq. in. / 664.51 sq. cm.,Very low - -257% (0 RA),50-60 pounds,Basalt Matrix,Medium-High,Slow-Moderate
Wilson,Five Lite BLX,103 sq. in. / 664.51 sq. cm.,Very low - -257% (0 RA),50-60 pounds,Graphite / Basalt Fibers,Medium,Medium
Wilson,Four BLX,105 sq. in. / 677.42 sq. cm.,Very high - 80% (71 RA),53-63 pounds,Basalt & Graphite Fibers,Medium,Medium-Fast
Wilson,Hyper Hammer 5.3 Stretch OS,,,,,,
Wilson,Juice 100,100 sq. in. / 645.16 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Basalt Fibers woven w/[K]arophite Black,Low-Medium,Medium-Fast
Wilson,Juice 100L,100 sq. in. / 645.16 sq. cm.,Very high - 95% (74 RA),50-60 pounds,Basalt Fibers woven w/[K]arophite Black,Medium,Medium
Wilson,Juice 100S,100 sq. in. / 645.16 sq. cm.,Very high - 95% (74 RA),53-63 pounds,Basalt Fibers woven w/[K]arophite Black,Medium,Medium
Wilson,Juice 100UL,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),50-60 pounds,Basalt Fibers woven w/[K]arophite Black,Medium,Medium
Wilson,Juice 108,108 sq. in. / 696.77 sq. cm.,Very high - 85% (72 RA),51-61 pounds,Basalt Fibers woven w/[K]arophite Black,High,Slow
Wilson,K Factor KZero,,,,,,
Wilson,K Six One 95 (18x20),95 in² / 612.9 cm²,High - 71% (69 RA),50-60 pounds,nCoded High Modulus Graphite / Carbon Black,Low,Fast
Wilson,Pro Open 100,100 sq. in. / 645 sq. cm.,High - 71% (69 RA),50-60 pounds,Graphite/Basalt,,
Wilson,Pro Staff 100L,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),50-60 pounds,Graphite/Kevlar/BLX,Low-Medium,Medium-Fast
Wilson,Pro Staff 100L BLX,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),53-63 pounds,Basalt,Medium,Medium-Fast
Wilson,Pro Staff 100LS,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),54-64 pounds,Graphite/Kevlar/BLX,Low-Medium,Fast
Wilson,Pro Staff 6.0 85,85 sq. in. / 548.39 sq. cm.,Low - 38% (62 RA),50-60 pounds,80% Braided Graphite 20% Kevlar,Low,Fast
Wilson,Pro Staff 90,90 sq. in. / 580.64 sq. cm.,Average - 57% (66 RA),48-58 pounds,Graphite/Kevlar/BLX,Low,Fast
Wilson,Pro Staff 95,95 sq. in. / 612.9 sq. cm.,Low - 38% (62 RA),49-59 pounds,Graphite/Kevlar/BLX,Low,Fast
Wilson,Pro Staff 95S,95 sq. in. / 612.9 sq. cm.,Average - 47% (64 RA),54-64 pounds,Graphite/Kevlar/BLX,Low,Fast
Wilson,Pro Staff 97,97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-60 pounds,Braided Kevlar & Graphite / Basalt Fibers,Low,Fast
Wilson,Pro Staff 97 Countervail,97 sq. in. / 625.81 sq. cm.,Average - 52% (65 RA),50-60 pounds,Graphite braided with aramid + Countervail,Low,Fast
Wilson,Pro Staff 97 Countervail Black,97 sq. in. / 625.81 sq. cm.,Average - 52% (65 RA),50-60 pounds,Braided Graphite,Low,Fast
Wilson,Pro Staff 97 LS,97 sq. in. / 625.81 sq. cm.,High - 61% (67 RA),51-61 pounds,Carbon Graphite,Low-Medium,Medium-Fast
Wilson,Pro Staff 97 ULS,97 sq. in. / 625.81 sq. cm.,Average - 47% (64 RA),50-60 pounds,Carbon Graphite,Low-Medium,Medium-Fast
Wilson,Pro Staff 97 v13,97 in² / 625.81 cm²,Average - 57% (66 RA),50-60 pounds,Graphite braided with aramid,Low,Fast
