string_id,String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Polyfibre TCS Rapid 16L/1.25 - 40 - Fast,Polyfibre TCS Rapid 16L/1.25,40,Fast,Polyester,125.7,69.2,4.3
Gosen TecGut Remplir 16 - 40 - Fast,Gosen TecGut Remplir 16,40,Fast,Nylon/Polyurethane,121.7,32.9,4.6
Tecnifibre TGV 16 - 40 - Fast,Tecnifibre TGV 16,40,Fast,Nylon/Polyurethane,131.4,28.4,3.1
Tecnifibre TGV 17/1.25 - 40 - Fast,Tecnifibre TGV 17/1.25,40,Fast,Nylon/Polyurethane,137.7,26.8,3.0
Gamma TNT2 16 - 40 - Fast,Gamma TNT2 16,40,Fast,Nylon,148.6,23.7,3.2
Gamma TNT2 Pro Plus 16 - 40 - Fast,Gamma TNT2 Pro Plus 16,40,Fast,Nylon,134.3,28.6,3.1
Gamma TNT2 Rx 16 - 40 - Fast,Gamma TNT2 Rx 16,40,Fast,Nylon,154.9,27.1,4.5
Gamma TNT2 Touch 16 - 40 - Fast,Gamma TNT2 Touch 16,40,Fast,Nylon,125.2,35.6,3.4
Babolat Tonic + Natural Gut 16 - 40 - Fast,Babolat Tonic + Natural Gut 16,40,Fast,Gut,90.9,19.5,
Prince Topspin Plus 16 - 40 - Fast,Prince Topspin Plus 16,40,Fast,Nylon,144.6,22.6,5.3
Prince Topspin W/ Duraflex 15L - 40 - Fast,Prince Topspin W/ Duraflex 15L,40,Fast,Nylon,155.4,20.6,3.5
Signum Pro Tornado 16 - 40 - Fast,Signum Pro Tornado 16,40,Fast,Polyester,180.6,63.1,5.1
Signum Pro Tornado 17 (1.23) - 40 - Fast,Signum Pro Tornado 17 (1.23),40,Fast,Polyester,193.2,53.7,4.8
Kirschbaum Touch Multifibre 16 - 40 - Fast,Kirschbaum Touch Multifibre 16,40,Fast,Nylon,133.2,27.1,4.1
Kirschbaum Touch Multifibre 17 (1.25) - 40 - Fast,Kirschbaum Touch Multifibre 17 (1.25),40,Fast,Nylon,137.2,24.5,3.5
Kirschbaum Touch Turbo 1.30 - 40 - Fast,Kirschbaum Touch Turbo 1.30,40,Fast,Polyester,194.9,53.3,5.3
Kirschbaum Touch Turbo 16L (1.275) - 40 - Fast,Kirschbaum Touch Turbo 16L (1.275),40,Fast,Polyester,172.0,56.1,5.4
Kirschbaum Touch Turbo 17 (1.25) - 40 - Fast,Kirschbaum Touch Turbo 17 (1.25),40,Fast,Polyester,208.6,53.9,5.2
Pacific Tough Gut 16 - 40 - Fast,Pacific Tough Gut 16,40,Fast,Gut,102.3,26.7,1.8
Pacific Tough Gut 16L - 40 - Fast,Pacific Tough Gut 16L,40,Fast,Gut,90.9,19.8,
Prince Tour 16 - 40 - Fast,Prince Tour 16,40,Fast,Polyester,188.6,59.7,3.1
Prince Tour 17 - 40 - Fast,Prince Tour 17,40,Fast,Polyester,163.4,63.9,3.4
Solinco Tour Bite 16 - 40 - Fast,Solinco Tour Bite 16,40,Fast,Polyester,174.3,60.4,6.7
Solinco Tour Bite 16 Soft - 40 - Fast,Solinco Tour Bite 16 Soft,40,Fast,Polyester,148.6,63.9,6.9
Solinco Tour Bite 16L (1.25) - 40 - Fast,Solinco Tour Bite 16L (1.25),40,Fast,Polyester,219.5,41.6,5.9
Solinco Tour Bite 17 - 40 - Fast,Solinco Tour Bite 17,40,Fast,Polyester,149.7,58.5,6.3
Solinco Tour Bite 18 (1.15) - 40 - Fast,Solinco Tour Bite 18 (1.15),40,Fast,Polyester,143.4,58.1,5.8
Solinco Tour Bite Diamond Rough 16 (1.30) - 40 - Fast,Solinco Tour Bite Diamond Rough 16 (1.30),40,Fast,Polyester,134.3,75.6,4.9
Solinco Tour Bite Diamond Rough 16L (1.25) - 40 - Fast,Solinco Tour Bite Diamond Rough 16L (1.25),40,Fast,Polyester,139.4,73.5,5.4
Solinco Tour Bite Diamond Rough 17 (1.20) - 40 - Fast,Solinco Tour Bite Diamond Rough 17 (1.20),40,Fast,Polyester,133.7,71.6,4.3
Dunlop Tour Performance 16 - 40 - Fast,Dunlop Tour Performance 16,40,Fast,Nylon,133.2,24.2,4.1
Super String Tour Players V3 17 (1.20) - 40 - Fast,Super String Tour Players V3 17 (1.20),40,Fast,Polyester,175.5,50.7,
Prince Tour XC 15L - 40 - Fast,Prince Tour XC 15L,40,Fast,Polyester,173.2,60.9,5.5
Prince Tour XC 16L - 40 - Fast,Prince Tour XC 16L,40,Fast,Polyester,174.9,54.7,5.5
Prince Tour XC 17L - 40 - Fast,Prince Tour XC 17L,40,Fast,Polyester,175.5,54.4,5.9
Prince Tour XP 15L - 40 - Fast,Prince Tour XP 15L,40,Fast,Polyester,165.2,58.2,5.2
Prince Tour XP 16 - 40 - Fast,Prince Tour XP 16,40,Fast,Polyester,183.5,56.0,5.5
Prince Tour XS 1.35 - 40 - Fast,Prince Tour XS 1.35,40,Fast,Polyester,185.2,51.7,5.0
Prince Tour XS 16 - 40 - Fast,Prince Tour XS 16,40,Fast,Polyester,176.0,47.4,5.5
Prince Tour XT 18 - 40 - Fast,Prince Tour XT 18,40,Fast,Polyester,156.6,50.6,6.4
Yonex Tournament 50 16L - 40 - Fast,Yonex Tournament 50 16L,40,Fast,Nylon,142.3,24.4,
Yonex Tournament 80 Spin 15L-16 - 40 - Fast,Yonex Tournament 80 Spin 15L-16,40,Fast,,133.7,24.6,
Prince Tournament Nylon 15L - 40 - Fast,Prince Tournament Nylon 15L,40,Fast,Nylon,146.3,24.2,3.1
Prince Tournament Poly 16 - 40 - Fast,Prince Tournament Poly 16,40,Fast,Polyester,193.2,50.3,0.0
Prince Tournament Poly 17 - 40 - Fast,Prince Tournament Poly 17,40,Fast,Polyester,175.5,57.8,
Poly Star Turbo 16 (1.30) - 40 - Fast,Poly Star Turbo 16 (1.30),40,Fast,Polyester,129.2,71.4,5.3
Poly Star Turbo 16L (1.25) - 40 - Fast,Poly Star Turbo 16L (1.25),40,Fast,Polyester,110.9,77.3,5.0
Weiss Cannon Turbotwist 17 (1.24) - 40 - Fast,Weiss Cannon Turbotwist 17 (1.24),40,Fast,Polyester,170.9,65.3,4.2
Weiss Cannon Turbotwist 17L (1.18) - 40 - Fast,Weiss Cannon Turbotwist 17L (1.18),40,Fast,Polyester,158.3,64.4,4.8
Double AR Twice Dragon(1.30) - 40 - Fast,Double AR Twice Dragon(1.30),40,Fast,Polyester,134.9,63.6,7.2
Double AR Twice Shark (1.25) - 40 - Fast,Double AR Twice Shark (1.25),40,Fast,Polyester,106.3,74.3,5.7
Prince Twisted 16L - 40 - Fast,Prince Twisted 16L,40,Fast,Polyester,205.7,49.3,3.7
Head Ultra Tour 16 - 40 - Fast,Head Ultra Tour 16,40,Fast,Polyester,165.2,59.1,4.5
Head Ultratour 17 - 40 - Fast,Head Ultratour 17,40,Fast,Polyester,162.9,71.1,4.1
Volkl V-Pro 16 - 40 - Fast,Volkl V-Pro 16,40,Fast,Polyester,210.3,49.8,5.0
Volkl V-Pro 17 - 40 - Fast,Volkl V-Pro 17,40,Fast,Polyester,159.4,57.7,5.1
Volkl V-Pro 18 - 40 - Fast,Volkl V-Pro 18,40,Fast,Polyester,201.2,43.8,4.9
Volkl V-Star 16 (1.30) - 40 - Fast,Volkl V-Star 16 (1.30),40,Fast,Polyester,130.3,67.2,6.9
Volkl V-Torque 16 - 40 - Fast,Volkl V-Torque 16,40,Fast,Polyester,144.6,69.0,5.6
Solinco Vanquish 16 - 40 - Fast,Solinco Vanquish 16,40,Fast,Nylon,136.0,24.6,3.9
Klip Venom 16/1.30 - 40 - Fast,Klip Venom 16/1.30,40,Fast,Nylon,138.9,25.8,2.3
Polyfibre Viper 16L/1.25 - 40 - Fast,Polyfibre Viper 16L/1.25,40,Fast,Polyester,142.3,63.3,
Polyfibre Viper 17/1.20 - 40 - Fast,Polyfibre Viper 17/1.20,40,Fast,Polyester,128.0,70.3,3.9
SuperString Viper V2 Rough 16L - 40 - Fast,SuperString Viper V2 Rough 16L,40,Fast,Polyester,178.9,43.9,5.0
SuperString VooDoo Tour V9 17 - 40 - Fast,SuperString VooDoo Tour V9 17,40,Fast,Nylon/Polyester,138.3,36.7,
Babolat VS Natural Team Gut 17 (1.25) - 40 - Fast,Babolat VS Natural Team Gut 17 (1.25),40,Fast,Gut,86.3,20.2,0.0
Babolat VS Natural ThermoGut 16 Touch - 40 - Fast,Babolat VS Natural ThermoGut 16 Touch,40,Fast,Gut,90.9,26.8,2.7
Gamma WearGuard Synthetic Gut 16 - 40 - Fast,Gamma WearGuard Synthetic Gut 16,40,Fast,Nylon,144.0,27.2,2.8
Double AR WTS 25 (1.25) - 40 - Fast,Double AR WTS 25 (1.25),40,Fast,Polyester,134.3,64.8,7.3
Pacific X Force 17 - 40 - Fast,Pacific X Force 17,40,Fast,Polyester,212.0,45.7,4.5
Pacific X Force 18 - 40 - Fast,Pacific X Force 18,40,Fast,Polyester,193.7,45.6,4.7
Tecnifibre X-Code 16 - 40 - Fast,Tecnifibre X-Code 16,40,Fast,Polyester,161.2,46.1,2.0
Dunlop X-Life Synthetic 15L - 40 - Fast,Dunlop X-Life Synthetic 15L,40,Fast,Nylon,145.2,25.2,3.5
Tecnifibre X-One Biphase 16 - 40 - Fast,Tecnifibre X-One Biphase 16,40,Fast,Nylon/Polyurethane,138.3,18.3,1.6
Tecnifibre X-One Biphase 17 - 40 - Fast,Tecnifibre X-One Biphase 17,40,Fast,Nylon/Polyurethane,145.7,15.4,2.1
Tecnifibre X-One Biphase 18 - 40 - Fast,Tecnifibre X-One Biphase 18,40,Fast,Nylon,129.7,17.7,1.6
Babolat Xcel 16 - 40 - Fast,Babolat Xcel 16,40,Fast,Nylon,120.6,19.7,3.0
Babolat Xcel Power 16 - 40 - Fast,Babolat Xcel Power 16,40,Fast,Nylon,143.4,21.5,3.8
Babolat Xcel Power 17 - 40 - Fast,Babolat Xcel Power 17,40,Fast,Nylon,129.7,20.0,3.6
Babolat Xcel Premium 17 - 40 - Fast,Babolat Xcel Premium 17,40,Fast,Nylon,130.9,19.8,0.0
Tecnifibre XR3 16 - 40 - Fast,Tecnifibre XR3 16,40,Fast,Nylon/Polyurethane,141.7,22.8,2.9
Tecnifibre XR3 17 - 40 - Fast,Tecnifibre XR3 17,40,Fast,Nylon/Polyurethane,134.9,20.2,3.0
Gamma Zo Black Ice 17 (1.23) - 40 - Fast,Gamma Zo Black Ice 17 (1.23),40,Fast,Polyester,184.0,57.8,3.7
Gamma Zo Black Ice 18 (1.18) - 40 - Fast,Gamma Zo Black Ice 18 (1.18),40,Fast,Polyester,181.2,51.7,4.0
Gamma Zo Ice 16 - 40 - Fast,Gamma Zo Ice 16,40,Fast,Polyester,204.6,41.3,4.2
Gamma Zo Magic 16 - 40 - Fast,Gamma Zo Magic 16,40,Fast,Polyester,229.2,43.6,4.1
Gamma Zo Power 16L - 40 - Fast,Gamma Zo Power 16L,40,Fast,Polyester,223.5,65.0,2.9
Gamma Zo Tour 16 - 40 - Fast,Gamma Zo Tour 16,40,Fast,,191.5,55.6,3.8
Gamma Zo Tour 17 (1.25) - 40 - Fast,Gamma Zo Tour 17 (1.25),40,Fast,Polyester,176.6,57.6,3.7
Gamma Zo Tour Rough 16 - 40 - Fast,Gamma Zo Tour Rough 16,40,Fast,Polyester,139.4,66.8,6.1
Gamma Zo Twist 16 - 40 - Fast,Gamma Zo Twist 16,40,Fast,Polyester,146.3,65.3,4.7
Gamma Zo Verve 17 - 40 - Fast,Gamma Zo Verve 17,40,Fast,Polyester,217.7,40.1,6.1
Luxilon 4G 16 (1.30) - 62 - Fast,Luxilon 4G 16 (1.30),62,Fast,Polyester,305.8,16.0,
Luxilon 4G 16L (1.25) - 62 - Fast,Luxilon 4G 16L (1.25),62,Fast,Polyester,273.2,17.4,3.9
Luxilon 4G Rough 16L - 62 - Fast,Luxilon 4G Rough 16L,62,Fast,Polyester,234.9,24.1,4.2
Luxilon 4G S 15 - 62 - Fast,Luxilon 4G S 15,62,Fast,Polyester,320.6,17.3,
Luxilon 4G Soft 1.25 - 62 - Fast,Luxilon 4G Soft 1.25,62,Fast,Polyester,225.7,23.4,6.7
Double AR 666 (1.30) - 62 - Fast,Double AR 666 (1.30),62,Fast,Nylon,180.0,22.9,5.8
Gosen A.K. Control 16 - 62 - Fast,Gosen A.K. Control 16,62,Fast,Nylon,179.5,20.6,5.4
Babolat Addiction 16 - 62 - Fast,Babolat Addiction 16,62,Fast,Nylon,197.7,17.4,3.1
Babolat Addiction 17 - 62 - Fast,Babolat Addiction 17,62,Fast,Nylon,173.7,17.7,2.6
Luxilon Adrenaline 16 - 62 - Fast,Luxilon Adrenaline 16,62,Fast,Polyester,245.7,36.1,3.6
Luxilon Adrenaline 16L/1.25 - 62 - Fast,Luxilon Adrenaline 16L/1.25,62,Fast,Polyester,228.0,37.5,3.5
Luxilon Adrenaline 17/1.20 - 62 - Fast,Luxilon Adrenaline 17/1.20,62,Fast,Polyester,245.7,33.7,2.9
Luxilon Adrenaline Rough 16L/1.25 - 62 - Fast,Luxilon Adrenaline Rough 16L/1.25,62,Fast,Polyester,247.5,37.9,3.3
Gosen AK Pro 16 - 62 - Fast,Gosen AK Pro 16,62,Fast,Nylon,204.6,20.9,4.3
Gosen AK Pro 17 - 62 - Fast,Gosen AK Pro 17,62,Fast,Nylon,183.5,19.9,4.4
Luxilon ALU Power 125/16L - 62 - Fast,Luxilon ALU Power 125/16L,62,Fast,Polyester,248.0,37.3,5.8
Luxilon ALU Power Feel 18/1.20 - 62 - Fast,Luxilon ALU Power Feel 18/1.20,62,Fast,Polyester,198.3,38.0,5.4
Luxilon Alu Power Soft 1.25 - 62 - Fast,Luxilon Alu Power Soft 1.25,62,Fast,Polyester,217.7,31.4,6.9
Klip Armour Pro 16/1.30 - 62 - Fast,Klip Armour Pro 16/1.30,62,Fast,Gut,105.2,12.3,1.4
Gamma Asterisk 16 - 62 - Fast,Gamma Asterisk 16,62,Fast,Nylon,178.3,21.9,3.8
Gamma Asterisk Spin 16 - 62 - Fast,Gamma Asterisk Spin 16,62,Fast,Nylon,175.5,23.0,3.9
Gamma Asterisk Tour 16 - 62 - Fast,Gamma Asterisk Tour 16,62,Fast,Nylon/Zyex,186.3,20.8,3.4
Pacific ATP Poly Power Pro 16L - 62 - Fast,Pacific ATP Poly Power Pro 16L,62,Fast,Polyester,228.6,45.0,5.0
Babolat Attraction 16 - 62 - Fast,Babolat Attraction 16,62,Fast,Nylon/Polyurethane,181.7,18.9,2.7
IsoSpeed Axon Mono 16L - 62 - Fast,IsoSpeed Axon Mono 16L,62,Fast,Polyester,230.9,29.8,3.2
IsoSpeed Axon Multi 16L - 62 - Fast,IsoSpeed Axon Multi 16L,62,Fast,Nylon/Polyolefin,136.0,28.4,3.0
Babolat Ballistic Polymono 16 - 62 - Fast,Babolat Ballistic Polymono 16,62,Fast,Polyester,255.5,40.4,4.7
Solinco Barb Wire 16 - 62 - Fast,Solinco Barb Wire 16,62,Fast,Polyester,246.9,34.7,4.4
Solinco Barb Wire 17 (1.20) - 62 - Fast,Solinco Barb Wire 17 (1.20),62,Fast,Polyester,197.2,41.3,4.9
Prince Beast XP 16 - 62 - Fast,Prince Beast XP 16,62,Fast,Polyester,228.6,36.5,3.9
Luxilon Big Banger Ace 18 (1.12) - 62 - Fast,Luxilon Big Banger Ace 18 (1.12),62,Fast,Polyester,226.9,38.5,4.0
Luxilon Big Banger ALU Power Fluoro 17 - 62 - Fast,Luxilon Big Banger ALU Power Fluoro 17,62,Fast,Polyester,233.2,37.1,
Luxilon Big Banger ALU Power Spin 127/16 - 62 - Fast,Luxilon Big Banger ALU Power Spin 127/16,62,Fast,Polyester,241.7,38.6,4.3
Luxilon Big Banger Original 130/16 - 62 - Fast,Luxilon Big Banger Original 130/16,62,Fast,Polyester,250.3,40.8,4.8
Luxilon Big Banger Rough 130/16 - 62 - Fast,Luxilon Big Banger Rough 130/16,62,Fast,Polyester,252.6,38.1,4.4
Luxilon Big Banger Timo 17 (1.22) - 62 - Fast,Luxilon Big Banger Timo 17 (1.22),62,Fast,Polyester,248.0,34.5,3.9
Luxilon Big Banger TiMO 17L (1.17) - 62 - Fast,Luxilon Big Banger TiMO 17L (1.17),62,Fast,Polyester,228.6,39.2,4.4
Luxilon Big Banger Timo 18 (1.10) - 62 - Fast,Luxilon Big Banger Timo 18 (1.10),62,Fast,Polyester,206.9,40.5,3.6
Luxilon Big Banger XP 125/16L - 62 - Fast,Luxilon Big Banger XP 125/16L,62,Fast,Polyester,242.9,40.3,4.1
Luxilon Big Banger XP 15L (1.38) - 62 - Fast,Luxilon Big Banger XP 15L (1.38),62,Fast,Polyester,269.7,39.1,3.6
Tourna Big Hitter 16 - 62 - Fast,Tourna Big Hitter 16,62,Fast,Polyester,254.9,35.0,
Tourna Big Hitter Black 7 17 - 62 - Fast,Tourna Big Hitter Black 7 17,62,Fast,Polyester,191.5,45.3,6.3
Tourna Big Hitter Blue 16 - 62 - Fast,Tourna Big Hitter Blue 16,62,Fast,Polyester,254.9,34.4,
Tourna Big Hitter Blue 17 - 62 - Fast,Tourna Big Hitter Blue 17,62,Fast,Polyester,238.3,33.0,4.9
Tourna Big Hitter Blue Rough 16 - 62 - Fast,Tourna Big Hitter Blue Rough 16,62,Fast,Polyester,250.9,32.2,3.4
Tourna Big Hitter Blue Rough 17 - 62 - Fast,Tourna Big Hitter Blue Rough 17,62,Fast,Polyester,239.5,35.1,3.2
Tourna Big Hitter Silver 17 - 62 - Fast,Tourna Big Hitter Silver 17,62,Fast,Polyester,192.0,45.5,5.4
Tourna Big Hitter Silver Rough 16 - 62 - Fast,Tourna Big Hitter Silver Rough 16,62,Fast,Polyester,236.6,35.2,4.5
Tourna Big Hitter Silver Rough 17 - 62 - Fast,Tourna Big Hitter Silver Rough 17,62,Fast,Polyester,217.7,38.5,4.1
Weiss Cannon Black 5 Edge 17 (1.24) - 62 - Fast,Weiss Cannon Black 5 Edge 17 (1.24),62,Fast,Polyester,235.5,27.2,4.7
Tecnifibre Black Code 16 - 62 - Fast,Tecnifibre Black Code 16,62,Fast,Polyester,276.6,31.4,
Tecnifibre Black Code 17 - 62 - Fast,Tecnifibre Black Code 17,62,Fast,Polyester,270.9,32.5,4.2
Tecnifibre Black Code 18 - 62 - Fast,Tecnifibre Black Code 18,62,Fast,Polyester,225.7,36.6,4.6
Tecnifibre Black Code 4S 17 (1.25) - 62 - Fast,Tecnifibre Black Code 4S 17 (1.25),62,Fast,Polyester,227.5,23.1,9.8
Alien Black Diamond 16 - 62 - Fast,Alien Black Diamond 16,62,Fast,Polyester,223.5,45.8,4.5
IsoSpeed Black Fire 17 - 62 - Fast,IsoSpeed Black Fire 17,62,Fast,Polyester,232.6,34.4,5.6
Kirschbaum Black Shark 16 (1.30) - 62 - Fast,Kirschbaum Black Shark 16 (1.30),62,Fast,Polyester,266.9,31.0,5.4
Kirschbaum Black Shark 17 (1.25) - 62 - Fast,Kirschbaum Black Shark 17 (1.25),62,Fast,Polyester,245.7,30.1,5.8
Polyfibre Black Venom 16 (1.30) - 62 - Fast,Polyfibre Black Venom 16 (1.30),62,Fast,Polyester,217.7,51.8,4.3
Polyfibre Black Venom 16L (1.25) - 62 - Fast,Polyfibre Black Venom 16L (1.25),62,Fast,Polyester,209.2,51.3,
Dunlop Black Widow 16 - 62 - Fast,Dunlop Black Widow 16,62,Fast,Polyester,208.6,38.5,5.2
Dunlop Black Widow 17 - 62 - Fast,Dunlop Black Widow 17,62,Fast,Polyester,219.5,35.9,5.4
Tourna Black Zone 16 - 62 - Fast,Tourna Black Zone 16,62,Fast,Polyester,217.7,28.7,5.6
Boris Becker Bomber 16 - 62 - Fast,Boris Becker Bomber 16,62,Fast,Polyester,233.7,40.9,5.1
Boris Becker Bomber 17 - 62 - Fast,Boris Becker Bomber 17,62,Fast,Polyester,201.7,45.0,
One Strings Carbon NRG 16 - 62 - Fast,One Strings Carbon NRG 16,62,Fast,Polyester,206.3,39.8,5.1
One Strings Carbon Tour 17 (1.25) - 62 - Fast,One Strings Carbon Tour 17 (1.25),62,Fast,Polyester,246.3,22.0,
Poly Star Classic 16 (1.30) - 62 - Fast,Poly Star Classic 16 (1.30),62,Fast,Polyester,209.7,54.1,4.2
Poly Star Classic 16L (1.25) - 62 - Fast,Poly Star Classic 16L (1.25),62,Fast,Polyester,218.3,49.4,4.4
Poly Star Classic 17 (1.20) - 62 - Fast,Poly Star Classic 17 (1.20),62,Fast,Polyester,210.3,52.4,4.0
Pacific Classic Natural Gut 16 - 62 - Fast,Pacific Classic Natural Gut 16,62,Fast,Gut,89.2,13.9,2.8
MSV Co.-Focus 16L - 62 - Fast,MSV Co.-Focus 16L,62,Fast,Polyester,213.2,42.3,4.2
Polyfibre Cobra 17/1.20 - 62 - Fast,Polyfibre Cobra 17/1.20,62,Fast,Polyester,200.0,49.8,3.6
Mantis Comfort Poly 16 - 62 - Fast,Mantis Comfort Poly 16,62,Fast,Polyester,246.3,37.8,4.8
Dunlop Comfort Poly 17 - 62 - Fast,Dunlop Comfort Poly 17,62,Fast,Polyester,267.5,32.3,4.5
Mantis Comfort Synthetic 16 - 62 - Fast,Mantis Comfort Synthetic 16,62,Fast,Nylon,172.6,20.5,3.8
Dunlop Comfort Synthetic 16 - 62 - Fast,Dunlop Comfort Synthetic 16,62,Fast,Nylon,207.5,18.4,4.1
Dunlop Comfort Synthetic 17 - 62 - Fast,Dunlop Comfort Synthetic 17,62,Fast,Nylon,221.2,17.2,
Kirschbaum Competition 16/1.30 - 62 - Fast,Kirschbaum Competition 16/1.30,62,Fast,Polyester,245.2,36.1,4.9
Kirschbaum Competition 17 (1.25) - 62 - Fast,Kirschbaum Competition 17 (1.25),62,Fast,Polyester,253.2,36.2,4.5
Kirschbaum Competition 17L (1.20) - 62 - Fast,Kirschbaum Competition 17L (1.20),62,Fast,Polyester,216.0,41.5,4.1
Gosen Compositemaster I 16 - 62 - Fast,Gosen Compositemaster I 16,62,Fast,Nylon,184.6,19.9,4.2
Gosen Compositemaster II 16 - 62 - Fast,Gosen Compositemaster II 16,62,Fast,Nylon,171.5,23.3,4.5
Babolat Conquest 16 - 62 - Fast,Babolat Conquest 16,62,Fast,Nylon,201.7,26.6,4.3
IsoSpeed Control 16 - 62 - Fast,IsoSpeed Control 16,62,Fast,Nylon/Polyolefin,159.4,22.7,
IsoSpeed Control Classic 16 - 62 - Fast,IsoSpeed Control Classic 16,62,Fast,Polyolefin,133.7,25.5,2.3
Topspin Cyber Blue 16 - 62 - Fast,Topspin Cyber Blue 16,62,Fast,Polyester,203.5,44.2,5.8
Topspin Cyber Blue 17 - 62 - Fast,Topspin Cyber Blue 17,62,Fast,Polyester,199.5,45.4,5.1
Topspin Cyber Flash 16 - 62 - Fast,Topspin Cyber Flash 16,62,Fast,Polyester,193.7,47.0,4.8
Topspin Cyber Flash 17 - 62 - Fast,Topspin Cyber Flash 17,62,Fast,Polyester,172.0,55.0,4.2
Topspin Cyber Flash 17L - 62 - Fast,Topspin Cyber Flash 17L,62,Fast,Polyester,166.3,56.2,4.6
Volkl Cyclone 16 - 62 - Fast,Volkl Cyclone 16,62,Fast,Polyester,232.0,42.6,6.2
Volkl Cyclone 17 - 62 - Fast,Volkl Cyclone 17,62,Fast,Polyester,216.0,44.6,5.8
Volkl Cyclone 18 - 62 - Fast,Volkl Cyclone 18,62,Fast,Polyester,210.9,43.1,7.1
Volkl Cyclone 19 (1.10) - 62 - Fast,Volkl Cyclone 19 (1.10),62,Fast,Polyester,191.5,32.2,8.2
Volkl Cyclone Tour 17 (1.25) - 62 - Fast,Volkl Cyclone Tour 17 (1.25),62,Fast,Polyester,213.2,42.2,6.1
Double AR Diablo (1.24) - 62 - Fast,Double AR Diablo (1.24),62,Fast,Polyester,198.9,48.1,7.4
Double AR Diablo (1.31) - 62 - Fast,Double AR Diablo (1.31),62,Fast,Polyester,199.5,49.0,7.7
Dunlop DNA 16 (1.30) - 62 - Fast,Dunlop DNA 16 (1.30),62,Fast,Nylon,173.2,23.1,3.6
Dunlop DNA 17 (1.22) - 62 - Fast,Dunlop DNA 17 (1.22),62,Fast,Nylon,165.2,25.6,4.1
Babolat Duralast 16 - 62 - Fast,Babolat Duralast 16,62,Fast,Polyester,244.0,44.4,
Babolat Duralast 17 - 62 - Fast,Babolat Duralast 17,62,Fast,Polyester,252.6,38.2,
Tecnifibre Duramix HD 16 - 62 - Fast,Tecnifibre Duramix HD 16,62,Fast,Nylon/Polyester,191.5,27.5,2.2
Tecnifibre Duramix HD 17 - 62 - Fast,Tecnifibre Duramix HD 17,62,Fast,Nylon/Polyester,192.0,26.4,1.7
Ashaway Dynamite 17 - 62 - Fast,Ashaway Dynamite 17,62,Fast,Nylon/Zyex,144.6,24.5,3.0
Ashaway Dynamite Soft 17 - 62 - Fast,Ashaway Dynamite Soft 17,62,Fast,Nylon/Zyex,135.4,25.6,2.6
Ashaway Dynamite Soft 18 - 62 - Fast,Ashaway Dynamite Soft 18,62,Fast,Nylon/Zyex,127.4,24.8,
Ashaway Dynamite WB 16 - 62 - Fast,Ashaway Dynamite WB 16,62,Fast,Nylon/Zyex,142.3,28.4,3.3
Tecnifibre E-Matrix 16 - 62 - Fast,Tecnifibre E-Matrix 16,62,Fast,Nylon/Polyurethane,163.4,17.5,2.7
Tecnifibre E-Matrix 17 - 62 - Fast,Tecnifibre E-Matrix 17,62,Fast,Nylon,162.9,16.7,2.4
Luxilon Element 1.30 - 62 - Fast,Luxilon Element 1.30,62,Fast,Polyester,216.6,34.3,6.6
Wilson Enduro Gold 16 - 62 - Fast,Wilson Enduro Gold 16,62,Fast,Polyester,237.2,43.1,
Wilson Enduro Mono 16L - 62 - Fast,Wilson Enduro Mono 16L,62,Fast,Polyester,253.2,37.8,
Wilson Enduro Pro 16 - 62 - Fast,Wilson Enduro Pro 16,62,Fast,Polyester,238.9,34.6,4.7
Wilson Enduro Pro 17 (1.25) - 62 - Fast,Wilson Enduro Pro 17 (1.25),62,Fast,Nylon/Polyester,245.7,31.4,4.0
Wilson Enduro Tour 16 - 62 - Fast,Wilson Enduro Tour 16,62,Fast,Polyester,283.5,33.2,5.2
Wilson Enduro Tour 17 - 62 - Fast,Wilson Enduro Tour 17,62,Fast,Polyester,206.9,52.4,4.8
Wilson Enduro Tour 18 - 62 - Fast,Wilson Enduro Tour 18,62,Fast,Polyester,210.3,49.1,
IsoSpeed Energetic 17 - 62 - Fast,IsoSpeed Energetic 17,62,Fast,Nylon/Polyolefin,170.3,33.5,1.9
IsoSpeed Energetic Plus 16 - 62 - Fast,IsoSpeed Energetic Plus 16,62,Fast,Nylon/Polyester,168.0,20.1,2.4
Poly Star Energy 16 (1.30) - 62 - Fast,Poly Star Energy 16 (1.30),62,Fast,Polyester,231.5,53.0,4.0
Poly Star Energy 16L (1.25) - 62 - Fast,Poly Star Energy 16L (1.25),62,Fast,Polyester,232.6,50.2,3.7
Poly Star Energy 17 (1.20) - 62 - Fast,Poly Star Energy 17 (1.20),62,Fast,Polyester,217.2,52.0,4.0
Gamma ESP 16 - 62 - Fast,Gamma ESP 16,62,Fast,Nylon,176.6,24.5,2.6
Head ETS 16 - 62 - Fast,Head ETS 16,62,Fast,Nylon,163.4,23.8,1.9
Head ETS 17 - 62 - Fast,Head ETS 17,62,Fast,Nylon,165.7,22.2,1.9
Klip Excellerator 16/1.30 - 62 - Fast,Klip Excellerator 16/1.30,62,Fast,Nylon,182.9,18.2,2.7
Weiss Cannon Explosiv 1.30 - 62 - Fast,Weiss Cannon Explosiv 1.30,62,Fast,Nylon,169.7,22.4,4.0
